170412 205406.017|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\USER\Desktop\ITSA5_Login\bin\logs directory.
170412 205406.017|INFO|AWT-EventQueue-0|info|
170412 205406.021|INFO|AWT-EventQueue-0|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_121 build 2837 Windows 8.1 6.3 (amd64) 
170412 205406.021|INFO|AWT-EventQueue-0|info|Login: team885 (aka team885)
170412 205406.021|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\USER\Desktop\ITSA5_Login\bin
170412 205406.021|INFO|AWT-EventQueue-0|startLog|Process id is 6096@ASUS-NPCM
170412 205406.021|INFO|AWT-EventQueue-0|info|Contacting server at 140.116.82.76:50002 as TEAM885 @ site 0
170412 205406.025|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM885 @ site 0
170412 205406.041|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM885 @ site 0 -> SERVER0 @ site 0
170412 205406.045|INFO|Thread-4|run|send(Serializable)
170412 205406.049|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM885 @ site 0 -> SERVER0 @ site 0
170412 205406.049|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170412 205407.311|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170412 205407.508|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #7943 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205407.508|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #7943 ) recieveObject
170412 205407.508|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (ITSA-PC @ 140.116.82.76) (Contest Id: Default--9146414789182046286)
170412 205407.508|INFO|Thread-5|dumpPacket|    To: TEAM885 @ site 1
170412 205407.508|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@54ad5151
170412 205407.508|INFO|Thread-5|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@5a6aa5b4
