170412 205407.584|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\USER\Desktop\ITSA5_Login\bin\logs directory.
170412 205407.588|INFO|Thread-5|info|
170412 205407.588|INFO|Thread-5|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_121 build 2837 Windows 8.1 6.3 (amd64) 
170412 205407.588|INFO|Thread-5|info|Login: team885 (aka team885)
170412 205407.588|INFO|Thread-5|startLog|Working directory is C:\Users\USER\Desktop\ITSA5_Login\bin
170412 205407.588|INFO|Thread-5|startLog|Process id is 6096@ASUS-NPCM
170412 205407.592|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
170412 205407.617|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
170412 205408.217|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
170412 205408.217|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #7943 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205408.217|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #7943 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205437.736|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Problem5 Python2.7 file: C:\Users\USER\Desktop\5.py
170412 205437.748|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM885 @ site 1 -> SERVER0 @ site 1
170412 205437.748|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM885 @ site 1 -> SERVER0 @ site 1
170412 205437.902|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #7952 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205437.902|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #7952 ) recieveObject
170412 205437.902|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (ITSA-PC @ 140.116.82.76) (Contest Id: Default--9146414789182046286)
170412 205437.902|INFO|Thread-8|dumpPacket|    To: TEAM885 @ site 1
170412 205437.902|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 909 QUEUED_FOR_COMPUTER_JUDGEMENT10471180 ms from TEAM885 @ site 1 id Run--6852905308541470880
170412 205437.918|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #7952 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205437.918|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #7952 ) handlePacket
170412 205437.918|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (ITSA-PC @ 140.116.82.76) (Contest Id: Default--9146414789182046286)
170412 205437.918|INFO|Thread-8|dumpPacket|    To: TEAM885 @ site 1
170412 205437.918|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 909 QUEUED_FOR_COMPUTER_JUDGEMENT10471180 ms from TEAM885 @ site 1 id Run--6852905308541470880
170412 205438.629|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #7957 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205438.629|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #7957 ) recieveObject
170412 205438.629|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (ITSA-PC @ 140.116.82.76) (Contest Id: Default--9146414789182046286)
170412 205438.629|INFO|Thread-9|dumpPacket|    To: TEAM885 @ site 1
170412 205438.629|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes--7972349029958949009 id JudgementRecord-4821975507320073642
170412 205438.629|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170412 205438.629|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 909 JUDGED10471180 ms from TEAM885 @ site 1 id Run--6852905308541470880
170412 205438.629|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #7957 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205438.629|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #7957 ) handlePacket
170412 205438.645|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (ITSA-PC @ 140.116.82.76) (Contest Id: Default--9146414789182046286)
170412 205438.645|INFO|Thread-9|dumpPacket|    To: TEAM885 @ site 1
170412 205438.645|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes--7972349029958949009 id JudgementRecord-4821975507320073642
170412 205438.645|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170412 205438.645|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 909 JUDGED10471180 ms from TEAM885 @ site 1 id Run--6852905308541470880
170412 205441.396|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #7957 SERVER0 @ site 1 -> TEAM885 @ site 1
170412 205442.706|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #7952 SERVER0 @ site 1 -> TEAM885 @ site 1
